sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION X (°);ORIENTATION Y (°);ORIENTATION Z (°);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);Satellites in range;Temperature (F);Level (%);Voltage (Volt);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.6326;9.7324;3.456;-1.4768;9.4218;2.2843;1.1428;-0.2365;-0.515;-0.1872;0.1971;-0.3846;24.0;685.3;-238.7;1015.1;238.28;-75.03;25.89;0.0;70.578;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;41;2014-11-08 13:51:29:665
-2.4582;8.3785;2.1727;-1.6657;9.5506;1.4774;-0.7925;-1.172;0.6954;0.2937;1.4661;0.4906;25.0;684.3;-237.8;1026.1;256.61;-77.24;45.03;0.0;66.73;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;587;2014-11-08 13:51:30:211
-1.8573;9.6265;-0.0198;-1.6972;9.6346;0.6815;-0.1601;-0.0081;-0.7013;0.0258;0.0024;-0.0522;26.0;679.7;-239.8;1032.1;279.26;-79.25;68.12;0.0;61.71;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;1092;2014-11-08 13:51:30:716
-1.4156;9.5594;0.4776;-1.1228;9.7271;0.5418;0.2418;-0.0892;-0.2456;0.0727;0.0911;0.1635;26.0;678.3;-239.8;1033.7;276.03;-82.7;64.24;0.0;33.363;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;1613;2014-11-08 13:51:31:237
-0.0916;9.5822;0.51;-0.7141;9.7649;0.5539;0.6225;-0.1827;-0.044;0.0205;0.2104;0.1246;26.0;677.9;-241.0;1033.7;268.85;-84.19;56.73;0.0;31.767;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;2146;2014-11-08 13:51:31:770
-0.6404;9.2063;1.0792;-0.8867;9.7519;0.5337;-0.9443;-1.444;1.2069;0.0455;0.0735;0.0274;26.0;676.3;-241.4;1034.5;263.5;-84.72;51.35;0.0;42.532;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;2659;2014-11-08 13:51:32:283
3.0628;8.3683;0.7835;1.3332;9.7113;0.2896;3.694;-0.672;0.1504;0.3987;1.1579;1.2602;28.0;670.9;-243.2;1033.6;136.05;-82.0;-77.75;0.0;38.827;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3164;2014-11-08 13:51:32:788
1.1983;9.7767;-0.0215;0.7476;9.7743;-0.2743;1.9543;1.1776;-0.5705;-0.2501;-1.1955;-0.2213;26.0;679.6;-244.0;1026.6;101.62;-79.48;-113.51;0.0;61.489;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;3673;2014-11-08 13:51:33:297
0.1095;9.2584;0.2131;-0.7461;9.7155;1.1058;0.8557;-0.4571;-0.8927;-0.0301;-1.7619;0.2527;32.0;682.9;-240.4;1006.6;269.7;-85.84;56.47;0.0;68.288;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4173;2014-11-08 13:51:33:797
-0.3921;9.7743;2.1985;-0.4588;9.6419;1.7302;0.0667;0.1324;0.4683;-0.0993;0.0075;-0.0967;55.0;680.8;-239.2;1002.4;231.45;-79.94;18.37;0.0;67.353;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;4697;2014-11-08 13:51:34:321
-0.5351;4.5747;5.5599;-2.9352;9.1963;1.727;1.6537;-3.2204;1.5961;-0.2996;1.6522;1.29;27.0;690.9;-232.4;1013.8;272.35;-63.64;63.72;0.0;66.039;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;5245;2014-11-08 13:51:34:869
-2.2625;10.3232;0.5896;-2.7313;9.4181;-0.0988;0.3035;0.7874;0.6932;0.4376;0.9694;-0.4591;718.0;685.8;-234.6;1033.6;301.94;-73.82;92.07;0.0;66.171;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;5791;2014-11-08 13:51:35:415
-1.7867;8.5677;-0.6237;-2.3849;9.5112;0.1418;0.2712;-0.7416;-1.2042;0.0541;-0.9151;-0.028;28.0;687.0;-234.6;1028.8;299.64;-74.29;89.57;0.0;48.478;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;6370;2014-11-08 13:51:35:994
-1.397;9.4607;0.893;-1.125;9.7049;0.848;-0.272;-0.2442;0.0451;-0.0029;0.1249;0.3268;31.0;687.2;-236.8;1016.0;267.92;-79.76;55.82;0.0;68.115;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;6958;2014-11-08 13:51:36:582
-0.5974;9.7354;1.0217;-0.7073;9.7348;0.9504;-0.2163;0.1993;-0.1352;0.388;-0.0421;-0.3526;30.0;683.9;-240.2;1014.4;222.11;-81.57;8.91;0.0;70.53;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;7489;2014-11-08 13:51:37:113
-1.2749;8.7538;0.3418;-0.905;9.7636;0.1547;-0.2862;-0.4843;-0.7197;0.2384;-1.1958;0.3593;29.0;685.8;-237.3;1009.4;294.34;-80.62;82.09;0.0;66.509;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;8035;2014-11-08 13:51:37:659
-0.9158;9.3482;0.738;-1.4086;9.6655;0.8738;0.4928;-0.3174;-0.1358;0.0972;0.167;-0.0613;61.0;679.4;-239.3;1001.1;270.39;-80.27;58.19;0.0;50.848;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;8566;2014-11-08 13:51:38:190
-1.8902;9.6205;0.0622;-2.2365;9.3423;1.9723;0.3463;0.2782;-1.91;-0.5451;1.6775;-0.7731;32.0;689.3;-233.5;1005.5;240.78;-77.53;28.07;0.0;70.989;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;9100;2014-11-08 13:51:38:724
-2.9868;10.4716;0.7159;-0.4825;9.7874;0.3799;-2.5043;0.6842;0.3359;-0.0125;0.2104;0.7268;792.0;673.3;-241.6;1036.8;264.07;-86.41;51.78;0.0;70.945;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;9636;2014-11-08 13:51:39:260
-0.7721;7.7788;1.8435;0.5757;9.4433;2.5812;-0.165;-1.6483;-0.7892;-0.2634;-1.4674;0.9428;24.0;681.3;-242.3;1012.6;200.95;-74.35;-12.57;0.0;65.693;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;10159;2014-11-08 13:51:39:783
3.6823;11.9189;-3.1035;-0.364;9.1304;3.56;4.0924;-0.8728;-3.9987;-2.2815;0.4402;-0.4732;21.0;660.7;-235.3;989.1;226.12;-80.07;13.35;0.0;69.033;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;10737;2014-11-08 13:51:40:361
-5.5605;3.6565;5.785;-6.9833;4.7798;4.9555;1.4228;-1.1233;0.8295;0.5372;0.742;1.1561;53.0;690.0;-204.6;1000.9;259.4;-20.55;50.74;0.0;63.503;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;11253;2014-11-08 13:51:40:877
2.3026;1.4126;3.1873;-4.3691;8.1624;3.2337;6.6717;-6.7498;-0.0464;3.1321;0.3665;-1.1201;60.0;687.5;-227.7;999.9;262.43;-56.34;53.49;0.0;64.055;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;11774;2014-11-08 13:51:41:398
-7.7351;6.2255;1.9956;-5.5365;8.0513;-0.8327;-0.6453;-0.5162;1.1452;0.0099;0.6123;0.2224;26.0;695.1;-223.6;1022.0;301.74;-55.19;98.55;0.0;63.695;19.519749;-96.915634;4348.39;0.0;38.709675;10 / 17;98.8;57.0;3.912;12334;2014-11-08 13:51:41:958
